AC.L2-3.1.1,Authorized Access Control,"Limit information system access to authorized users, processes acting on behalf of authorized users, or devices (including other information systems)."
AC.L2-3.1.2,Transaction & Function Control,"Limit information system access to the types of transactions and functions that authorized users are permitted to execute."
AC.L2-3.1.3,Control CUI Flow,"Control the flow of CUI in accordance with approved authorizations."
AC.L2-3.1.4,Separation of Duties,"Separate the duties of individuals to reduce the risk of malevolent activity without collusion."
AC.L2-3.1.5,Least Privilege,"Employ the principle of least privilege, including for specific security functions and privileged accounts."
AC.L2-3.1.6,Non-Privileged Account Use,"Use non-privileged accounts or roles when accessing nonsecurity functions."
AC.L2-3.1.7,Privileged Functions,"Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs."
AC.L2-3.1.8,Unsuccessful Logon Attempts,"Limit unsuccessful logon attempts."
AC.L2-3.1.9,Privacy & Security Notices,"Provide privacy and security notices consistent with applicable CUI rules."
AC.L2-3.1.10,Session Lock,"Use session lock with pattern-hiding displays to prevent access and viewing of data after a period of inactivity."
AC.L2-3.1.11,Session Termination,"Terminate (automatically) a user session after a defined condition."
AC.L2-3.1.12,Control Remote Access,"Monitor and control remote access sessions."
AC.L2-3.1.13,Remote Access Confidentiality,"Employ cryptographic mechanisms to protect the confidentiality of remote access sessions."
AC.L2-3.1.14,Remote Access Routing,"Route remote access via managed access control points."
AC.L2-3.1.15,Privileged Remote Access,"Authorize remote execution of privileged commands and remote access to security-relevant information."
AC.L2-3.1.16,Wireless Access Authorization,"Authorize wireless access prior to allowing such connections."
AC.L2-3.1.17,Wireless Access Protection,"Protect wireless access using authentication and encryption."
AC.L2-3.1.18,Mobile Device Connection,"Control connection of mobile devices."
AC.L2-3.1.19,Encrypt CUI on Mobile,"Encrypt CUI on mobile devices and mobile computing platforms."
AC.L2-3.1.20,External Connections,"Verify and control/limit connections to and use of external information systems."
AC.L2-3.1.21,Portable Storage,"Limit use of portable storage devices on external systems."
AC.L2-3.1.22,Publicly Accessible Content,"Control information posted or processed on publicly accessible information systems."
AT.L2-3.2.1,Role-Based Risk Awareness,"Ensure that managers, systems administrators, and users of organizational systems are made aware of the security risks associated with their activities and of the applicable policies, standards, and procedures related to the security of those systems."
AT.L2-3.2.2,Role-Based Training,"Ensure that personnel are trained to carry out their assigned information security-related duties and responsibilities."
AT.L2-3.2.3,Insider Threat Awareness,"Provide security awareness training on recognizing and reporting potential indicators of insider threat."
AU.L2-3.3.1,System Auditing,"Create and retain system audit logs and records to the extent needed to enable the monitoring, analysis, investigation, and reporting of unlawful or unauthorized system activity."
AU.L2-3.3.2,User Accountability,"Ensure that the actions of individual system users can be uniquely traced to those users so they can be held accountable for their actions."
AU.L2-3.3.3,Event Review,"Review and update logged events."
AU.L2-3.3.4,Audit Failure Alerting,"Alert in the event of an audit logging process failure."
AU.L2-3.3.5,Audit Correlation,"Correlate audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity."
AU.L2-3.3.6,Audit Reduction & Reporting,"Provide audit record reduction and report generation to support on-demand analysis and reporting."
AU.L2-3.3.7,Authoritative Time Source,"Provide a system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records."
AU.L2-3.3.8,Audit Protection,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion."
AU.L2-3.3.9,Audit Management,"Limit management of audit logging functionality to a subset of privileged users."
CM.L2-3.4.1,System Baselining,"Establish and maintain baseline configurations and inventories of organizational systems (including hardware, software, firmware, and documentation) throughout the respective system development life cycles."
CM.L2-3.4.2,Security Configuration Enforcement,"Establish and enforce security configuration settings for information technology products employed in organizational systems."
CM.L2-3.4.3,System Change Management,"Track, review, approve or disapprove, and log changes to organizational systems."
CM.L2-3.4.4,Security Impact Analysis,"Analyze the security impact of changes prior to implementation."
CM.L2-3.4.5,Access Restrictions for Change,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to organizational systems."
CM.L2-3.4.6,Least Functionality,"Employ the principle of least functionality by configuring organizational systems to provide only essential capabilities."
CM.L2-3.4.7,Nonessential Functionality,"Restrict, disable, or prevent the use of nonessential programs, functions, ports, protocols, and services."
CM.L2-3.4.8,Application Execution Policy,"Apply deny-by-exception (blacklisting) policy to prevent the use of unauthorized software or deny-all, permit-by-exception (whitelisting) policy to allow the execution of authorized software."
CM.L2-3.4.9,User-Installed Software,"Control and monitor user-installed software."
IA.L2-3.5.1,Identification,"Identify system users, processes acting on behalf of users, and devices."
IA.L2-3.5.2,Authentication,"Authenticate (or verify) the identities of users, processes, or devices, as a prerequisite to allowing access to organizational systems."
IA.L2-3.5.3,Multi-Factor Authentication,"Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts."
IA.L2-3.5.4,Replay-Resistant Authentication,"Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts."
IA.L2-3.5.5,Identifier Reuse,"Prevent reuse of identifiers for a defined period."
IA.L2-3.5.6,Identifier Handling,"Disable identifiers after a defined period of inactivity."
IA.L2-3.5.7,Password Complexity,"Enforce a minimum password complexity and change of characters when new passwords are created."
IA.L2-3.5.8,Password Reuse,"Prohibit password reuse for a specified number of generations."
IA.L2-3.5.9,Temporary Passwords,"Allow temporary password use for system logons with an immediate change to a permanent password."
IA.L2-3.5.10,Cryptographic Key Protection,"Store and transmit only cryptographically-protected passwords."
IA.L2-3.5.11,Obscure Feedback,"Obscure feedback of authentication information."
IR.L2-3.6.1,Incident Handling,"Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities."
IR.L2-3.6.2,Incident Reporting,"Track, document, and report incidents to designated officials and/or authorities both internal and external to the organization."
IR.L2-3.6.3,Incident Response Testing,"Test the organizational incident response capability."
MA.L2-3.7.1,System Maintenance,"Perform maintenance on organizational systems."
MA.L2-3.7.2,System Maintenance Control,"Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance."
MA.L2-3.7.3,Equipment Sanitization,"Ensure equipment removed for off-site maintenance is sanitized of any CUI."
