Art.5(1)(a),Lawfulness Fairness Transparency,"Personal data shall be processed lawfully, fairly and in a transparent manner in relation to the data subject."
Art.5(1)(b),Purpose Limitation,"Personal data shall be collected for specified, explicit and legitimate purposes and not further processed in a manner that is incompatible with those purposes."
Art.5(1)(c),Data Minimisation,"Personal data shall be adequate, relevant and limited to what is necessary in relation to the purposes for which they are processed."
Art.5(1)(d),Accuracy,"Personal data shall be accurate and, where necessary, kept up to date."
Art.5(1)(e),Storage Limitation,"Personal data shall be kept in a form which permits identification of data subjects for no longer than is necessary for the purposes for which the personal data are processed."
Art.5(1)(f),Integrity and Confidentiality,"Personal data shall be processed in a manner that ensures appropriate security of the personal data, including protection against unauthorised or unlawful processing and against accidental loss, destruction or damage."
Art.5(2),Accountability,"The controller shall be responsible for, and be able to demonstrate compliance with, the data processing principles."
Art.6(1),Lawful Basis for Processing,"Processing shall be lawful only if and to the extent that at least one lawful basis applies: consent, contract, legal obligation, vital interests, public task, or legitimate interests."
Art.7,Conditions for Consent,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented. The request for consent shall be presented in a manner clearly distinguishable, in an intelligible and easily accessible form, using clear and plain language."
Art.9,Processing of Special Categories,"Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, trade union membership, genetic data, biometric data, health data, or sex life or sexual orientation shall be prohibited unless specific conditions are met."
Art.12,Transparent Communication,"The controller shall take appropriate measures to provide information to the data subject in a concise, transparent, intelligible and easily accessible form, using clear and plain language."
Art.13,Information at Collection,"Where personal data are collected from the data subject, the controller shall provide identity and contact details, purposes and legal basis, recipients, transfer information, retention period, and data subject rights at the time of collection."
Art.14,Information Not From Subject,"Where personal data have not been obtained from the data subject, the controller shall provide the same information as Art.13 within a reasonable period and no later than one month."
Art.15,Right of Access,"The data subject shall have the right to obtain from the controller confirmation as to whether personal data concerning them are being processed, and access to that data and supplementary information."
Art.16,Right to Rectification,"The data subject shall have the right to obtain from the controller without undue delay the rectification of inaccurate personal data."
Art.17,Right to Erasure,"The data subject shall have the right to obtain from the controller the erasure of personal data without undue delay where specific grounds apply."
Art.18,Right to Restriction,"The data subject shall have the right to obtain from the controller restriction of processing under certain conditions."
Art.20,Right to Data Portability,"The data subject shall have the right to receive personal data concerning them in a structured, commonly used and machine-readable format and to transmit that data to another controller."
Art.21,Right to Object,"The data subject shall have the right to object at any time to processing of personal data based on public interest or legitimate interests grounds."
Art.22,Automated Decision-Making,"The data subject shall have the right not to be subject to a decision based solely on automated processing, including profiling, which produces legal effects or similarly significantly affects them."
Art.24,Responsibility of Controller,"The controller shall implement appropriate technical and organisational measures to ensure and be able to demonstrate that processing is performed in accordance with this Regulation."
Art.25(1),Data Protection by Design,"The controller shall implement appropriate technical and organisational measures designed to implement data-protection principles in an effective manner and to integrate the necessary safeguards into the processing."
