164.302,Applicability,"This subpart applies to covered entities and business associates with respect to electronic protected health information."
164.306(a),General Requirements,"Covered entities and business associates must ensure the confidentiality integrity and availability of all electronic protected health information they create receive maintain or transmit."
164.306(b),Flexibility of Approach,"Covered entities and business associates may use any security measures that allow them to reasonably and appropriately implement the standards and specifications."
164.308(a)(1),Security Management Process,"Implement policies and procedures to prevent detect contain and correct security violations."
164.308(a)(1)(ii)(A),Risk Analysis,"Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality integrity and availability of electronic protected health information."
164.308(a)(1)(ii)(B),Risk Management,"Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level."
164.308(a)(1)(ii)(C),Sanction Policy,"Apply appropriate sanctions against workforce members who fail to comply with the security policies and procedures."
164.308(a)(1)(ii)(D),Information System Activity Review,"Implement procedures to regularly review records of information system activity such as audit logs access reports and security incident tracking reports."
164.308(a)(2),Assigned Security Responsibility,"Identify the security official who is responsible for the development and implementation of the policies and procedures required by this subpart."
164.308(a)(3),Workforce Security,"Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information and to prevent those workforce members who do not have access from obtaining access."
164.308(a)(3)(ii)(A),Authorization and Supervision,"Implement procedures for the authorization and supervision of workforce members who work with electronic protected health information."
164.308(a)(3)(ii)(B),Workforce Clearance Procedure,"Implement procedures to determine that the access of a workforce member to electronic protected health information is appropriate."
164.308(a)(3)(ii)(C),Termination Procedures,"Implement procedures for terminating access to electronic protected health information when the employment of or other arrangement with a workforce member ends."
164.308(a)(4),Information Access Management,"Implement policies and procedures for authorizing access to electronic protected health information that are consistent with the Privacy Rule."
164.308(a)(5),Security Awareness and Training,"Implement a security awareness and training program for all members of its workforce including management."
164.308(a)(5)(ii)(A),Security Reminders,"Periodic security updates."
164.308(a)(5)(ii)(B),Protection from Malicious Software,"Procedures for guarding against detecting and reporting malicious software."
164.308(a)(5)(ii)(C),Log-in Monitoring,"Procedures for monitoring log-in attempts and reporting discrepancies."
164.308(a)(5)(ii)(D),Password Management,"Procedures for creating changing and safeguarding passwords."
164.308(a)(6),Security Incident Procedures,"Implement policies and procedures to address security incidents."
164.308(a)(6)(ii),Response and Reporting,"Identify and respond to suspected or known security incidents; mitigate to the extent practicable harmful effects of security incidents that are known to the covered entity or business associate; and document security incidents and their outcomes."
164.308(a)(7),Contingency Plan,"Establish and implement as needed policies and procedures for responding to an emergency or other occurrence that damages systems that contain electronic protected health information."
164.308(a)(7)(ii)(A),Data Backup Plan,"Establish and implement procedures to create and maintain retrievable exact copies of electronic protected health information."
164.308(a)(7)(ii)(B),Disaster Recovery Plan,"Establish and implement as needed procedures to restore any loss of data."
164.308(a)(7)(ii)(C),Emergency Mode Operations,"Establish and implement as needed procedures to enable continuation of critical business processes for protection of the security of ePHI while operating in emergency mode."
164.308(a)(7)(ii)(D),Testing and Revision,"Implement procedures for periodic testing and revision of contingency plans."
164.308(a)(8),Evaluation,"Perform a periodic technical and nontechnical evaluation to establish the extent to which security policies and procedures meet the requirements of this subpart."
164.308(b)(1),Business Associate Contracts,"A covered entity may permit a business associate to create receive maintain or transmit electronic protected health information on the covered entity's behalf only if the covered entity obtains satisfactory assurances."
164.310(a)(1),Facility Access Controls,"Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are housed while ensuring that properly authorized access is allowed."
164.310(a)(2)(i),Contingency Operations,"Establish and implement as needed procedures that allow facility access in support of restoration of lost data under the disaster recovery plan and emergency mode operations plan."
164.310(a)(2)(ii),Facility Security Plan,"Implement policies and procedures to safeguard the facility and the equipment therein from unauthorized physical access tampering and theft."
164.310(a)(2)(iii),Access Control and Validation,"Implement procedures to control and validate a person's access to facilities based on their role or function."
164.310(a)(2)(iv),Maintenance Records,"Implement policies and procedures to document repairs and modifications to the physical components of a facility which are related to security."
164.310(b),Workstation Use,"Implement policies and procedures that specify the proper functions to be performed the manner in which those functions are to be performed and the physical attributes of the surroundings of a specific workstation that can access electronic protected health information."
164.310(c),Workstation Security,"Implement physical safeguards for all workstations that access electronic protected health information to restrict access to authorized users."
164.310(d)(1),Device and Media Controls,"Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain electronic protected health information into and out of a facility and the movement of these items within the facility."
164.310(d)(2)(i),Disposal,"Implement policies and procedures to address the final disposition of electronic protected health information and or the hardware or electronic media on which it is stored."
164.310(d)(2)(ii),Media Reuse,"Implement procedures for removal of electronic protected health information from electronic media before the media are made available for reuse."
164.310(d)(2)(iii),Accountability,"Maintain a record of the movements of hardware and electronic media and any person responsible therefore."
164.310(d)(2)(iv),Data Backup and Storage,"Create a retrievable exact copy of electronic protected health information when needed before movement of equipment."
164.312(a)(1),Access Control,"Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights."
164.312(a)(2)(i),Unique User Identification,"Assign a unique name and or number for identifying and tracking user identity."
164.312(a)(2)(ii),Emergency Access Procedure,"Establish and implement as needed procedures for obtaining necessary electronic protected health information during an emergency."
164.312(a)(2)(iii),Automatic Logoff,"Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity."
164.312(a)(2)(iv),Encryption and Decryption,"Implement a mechanism to encrypt and decrypt electronic protected health information."
164.312(b),Audit Controls,"Implement hardware software and or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information."
164.312(c)(1),Integrity,"Implement policies and procedures to protect electronic protected health information from improper alteration or destruction."
164.312(c)(2),Mechanism to Authenticate ePHI,"Implement electronic mechanisms to corroborate that electronic protected health information has not been altered or destroyed in an unauthorized manner."
164.312(d),Person or Entity Authentication,"Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed."
164.312(e)(1),Transmission Security,"Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network."
164.312(e)(2)(i),Integrity Controls,"Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of."
164.312(e)(2)(ii),Encryption,"Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate."
164.314(a)(1),Business Associate Contracts,"The contract between a covered entity and a business associate must meet the requirements of this section."
164.316(a),Policies and Procedures,"Implement reasonable and appropriate policies and procedures to comply with the standards implementation specifications and other requirements of this subpart."
164.316(b)(1),Documentation,"Maintain the policies and procedures implemented and any action activity or assessment required to be documented under this subpart in written form which may be electronic."
164.316(b)(2)(i),Time Limit,"Retain the documentation required for 6 years from the date of its creation or the date when it last was in effect whichever is later."
